"Month","Local Electoral Area","Age Group","Primary Course Completed (%)","Monthly Percentage Point Change in Primary Course Completed (%)","Booster 1 (%)","Monthly Percentage Point Change in Booster 1 (%)","Booster 2 (%)","Monthly Percentage Point Change in Booster 2 (%)","Booster 3 (%)","Monthly Percentage Point Change in Booster 3 (%)","Booster 4 (%)","Monthly Percentage Point Change in Booster 4 (%)"
"2021 January","Gorey, Wexford","5 - 11 years","","","","","","","","","",""
"2021 January","Gorey, Wexford","12 years and over","1.9","0.4","","","","","","","",""
"2021 January","Kilmuckridge, Wexford","5 - 11 years","","","","","","","","","",""
"2021 January","Kilmuckridge, Wexford","12 years and over","3.6","0.9","","","","","","","",""
"2021 January","New Ross, Wexford","5 - 11 years","","","","","","","","","",""
"2021 January","New Ross, Wexford","12 years and over","2.9","1","","","","","","","",""
"2021 January","Rosslare, Wexford","5 - 11 years","","","","","","","","","",""
"2021 January","Rosslare, Wexford","12 years and over","2.8","1","","","","","","","",""
"2021 January","Wexford, Wexford","5 - 11 years","","","","","","","","","",""
"2021 January","Wexford, Wexford","12 years and over","2.7","1.6","","","","","","","",""
"2021 January","Enniscorthy, Wexford","5 - 11 years","","","","","","","","","",""
"2021 January","Enniscorthy, Wexford","12 years and over","2.4","0.7","","","","","","","",""
"2021 January","Baltinglass, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 January","Baltinglass, Wicklow","12 years and over","2.3","0.6","","","","","","","",""
"2021 January","Bray West, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 January","Bray West, Wicklow","12 years and over","1.2","0.6","","","","","","","",""
"2021 January","Greystones, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 January","Greystones, Wicklow","12 years and over","2.1","0.7","","","","","","","",""
"2021 January","Wicklow, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 January","Wicklow, Wicklow","12 years and over","1.5","0.5","","","","","","","",""
"2021 January","Arklow, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 January","Arklow, Wicklow","12 years and over","1.3","0.3","","","","","","","",""
"2021 January","Bray East, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 January","Bray East, Wicklow","12 years and over","1.1","0.7","","","","","","","",""
"2021 January","Rush-Lusk, Fingal","5 - 11 years","","","","","","","","","",""
"2021 January","Rush-Lusk, Fingal","12 years and over","1.3","0.6","","","","","","","",""
"2021 January","Swords, Fingal","5 - 11 years","","","","","","","","","",""
"2021 January","Swords, Fingal","12 years and over","1.2","0.8","","","","","","","",""
"2021 January","Blanchardstown-Mulhuddart, Fingal","5 - 11 years","","","","","","","","","",""
"2021 January","Blanchardstown-Mulhuddart, Fingal","12 years and over","1.7","1.3","","","","","","","",""
"2021 January","Castleknock, Fingal","5 - 11 years","","","","","","","","","",""
"2021 January","Castleknock, Fingal","12 years and over","1.6","1.2","","","","","","","",""
"2021 January","Howth-Malahide, Fingal","5 - 11 years","","","","","","","","","",""
"2021 January","Howth-Malahide, Fingal","12 years and over","1.6","1.1","","","","","","","",""
"2021 January","Stillorgan, Dún Laoghaire-Rathdown","5 - 11 years","","","","","","","","","",""
"2021 January","Stillorgan, Dún Laoghaire-Rathdown","12 years and over","2.1","1.6","","","","","","","",""
"2021 January","Dundrum, Dún Laoghaire-Rathdown","5 - 11 years","","","","","","","","","",""
"2021 January","Dundrum, Dún Laoghaire-Rathdown","12 years and over","1.6","1.2","","","","","","","",""
"2021 January","Glencullen-Sandyford, Dún Laoghaire-Rathdown","5 - 11 years","","","","","","","","","",""
"2021 January","Glencullen-Sandyford, Dún Laoghaire-Rathdown","12 years and over","1.3","0.8","","","","","","","",""
"2021 January","Killiney-Shankill, Dún Laoghaire-Rathdown","5 - 11 years","","","","","","","","","",""
"2021 January","Killiney-Shankill, Dún Laoghaire-Rathdown","12 years and over","1.4","0.8","","","","","","","",""
"2021 January","Dún Laoghaire, Dún Laoghaire-Rathdown","5 - 11 years","","","","","","","","","",""
"2021 January","Dún Laoghaire, Dún Laoghaire-Rathdown","12 years and over","1.8","1.1","","","","","","","",""
"2021 January","Blackrock, Dún Laoghaire-Rathdown","5 - 11 years","","","","","","","","","",""
"2021 January","Blackrock, Dún Laoghaire-Rathdown","12 years and over","2","1.6","","","","","","","",""
"2021 January","Lucan, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 January","Lucan, South Dublin","12 years and over","1.7","1.3","","","","","","","",""
"2021 January","Tallaght Central, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 January","Tallaght Central, South Dublin","12 years and over","2.1","1.6","","","","","","","",""
"2021 January","Rathfarnham-Templeogue, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 January","Rathfarnham-Templeogue, South Dublin","12 years and over","2.1","1.5","","","","","","","",""
"2021 January","Firhouse-Bohernabreena, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 January","Firhouse-Bohernabreena, South Dublin","12 years and over","1.8","1.3","","","","","","","",""
"2021 January","Tallaght South, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 January","Tallaght South, South Dublin","12 years and over","1.4","0.9","","","","","","","",""
"2021 January","Clondalkin, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 January","Clondalkin, South Dublin","12 years and over","1.5","0.9","","","","","","","",""
"2021 January","Balbriggan, Fingal","5 - 11 years","","","","","","","","","",""
"2021 January","Balbriggan, Fingal","12 years and over","1.2","0.6","","","","","","","",""
"2021 January","Ongar, Fingal","5 - 11 years","","","","","","","","","",""
"2021 January","Ongar, Fingal","12 years and over","1.4","1.1","","","","","","","",""
"2021 January","Palmerstown-Fonthill, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 January","Palmerstown-Fonthill, South Dublin","12 years and over","1.7","1.1","","","","","","","",""
"2021 January","Ballymun-Finglas, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 January","Ballymun-Finglas, Dublin City","12 years and over","1.2","0.8","","","","","","","",""
"2021 January","Cabra-Glasnevin, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 January","Cabra-Glasnevin, Dublin City","12 years and over","2.5","1.6","","","","","","","",""
"2021 January","Ballyfermot-Drimnagh, Dublin City","5 - 11 years","","","","","","","","","",""
