"Month","Local Electoral Area","Age Group","Primary Course Completed (%)","Monthly Percentage Point Change in Primary Course Completed (%)","Booster 1 (%)","Monthly Percentage Point Change in Booster 1 (%)","Booster 2 (%)","Monthly Percentage Point Change in Booster 2 (%)","Booster 3 (%)","Monthly Percentage Point Change in Booster 3 (%)","Booster 4 (%)","Monthly Percentage Point Change in Booster 4 (%)"
"2022 February","Killarney, Kerry","12 years and over","84.2","0.4","50.8","1.6","2.5","0","","","",""
"2022 February","Kenmare, Kerry","5 - 11 years","14.2","11","0","0","0","0","","","",""
"2022 February","Kenmare, Kerry","12 years and over","92.5","0.3","58","1.7","2.6","0","","","",""
"2022 February","Corca Dhuibhne, Kerry","5 - 11 years","19.6","16.2","0","0","0","0","","","",""
"2022 February","Corca Dhuibhne, Kerry","12 years and over","92.7","0.3","60.5","1.4","3.4","0","","","",""
"2022 February","Tralee, Kerry","5 - 11 years","13.7","9.9","0","0","0","0","","","",""
"2022 February","Tralee, Kerry","12 years and over","90.9","0.3","54.5","2.1","3","0","","","",""
"2022 February","Maynooth, Kildare","5 - 11 years","18.2","17.1","0","0","0","0","","","",""
"2022 February","Maynooth, Kildare","12 years and over","82.1","0.5","48.2","1.9","1.6","0.1","","","",""
"2022 February","Celbridge, Kildare","5 - 11 years","18.4","18","0","0","0","0","","","",""
"2022 February","Celbridge, Kildare","12 years and over","97.3","0.5","58.8","2","2","0","","","",""
"2022 February","Naas, Kildare","5 - 11 years","15.6","13.1","0","0","0","0","","","",""
"2022 February","Naas, Kildare","12 years and over","91.7","0.4","54.1","2","2","0","","","",""
"2022 February","Athy, Kildare","5 - 11 years","16.2","13.2","0","0","0","0","","","",""
"2022 February","Athy, Kildare","12 years and over","91.7","0.4","53","1.9","2","0","","","",""
"2022 February","Kildare, Kildare","5 - 11 years","13.6","11.4","0","0","0","0","","","",""
"2022 February","Kildare, Kildare","12 years and over","88.6","0.5","49.6","2.1","1.8","0","","","",""
"2022 February","Clane, Kildare","5 - 11 years","15.3","12.4","0","0","0","0","","","",""
"2022 February","Clane, Kildare","12 years and over","91.2","0.4","51.6","1.6","2.3","0","","","",""
"2022 February","Leixlip, Kildare","5 - 11 years","16.3","15.2","0","0","0","0","","","",""
"2022 February","Leixlip, Kildare","12 years and over","90.3","0.3","56.8","1.9","2","0.1","","","",""
"2022 February","Newbridge, Kildare","5 - 11 years","14","11.7","0","0","0","0","","","",""
"2022 February","Newbridge, Kildare","12 years and over","93.2","0.5","52.4","1.8","1.9","0","","","",""
"2022 February","Castlecomer, Kilkenny","5 - 11 years","19.2","13.2","0","0","0","0","","","",""
"2022 February","Castlecomer, Kilkenny","12 years and over","97.2","0.5","58.7","1.7","2","0.1","","","",""
"2022 February","Kilkenny, Kilkenny","5 - 11 years","16.5","11.4","0","0","0","0","","","",""
"2022 February","Kilkenny, Kilkenny","12 years and over","90.3","0.4","53.4","2","1.6","0","","","",""
"2022 February","Piltown, Kilkenny","5 - 11 years","12.9","11.1","0","0","0","0","","","",""
"2022 February","Piltown, Kilkenny","12 years and over","90.1","0.3","54.1","1.6","1.8","0","","","",""
"2022 February","Callan-Thomastown, Kilkenny","5 - 11 years","22.1","16","0","0","0","0","","","",""
"2022 February","Callan-Thomastown, Kilkenny","12 years and over","96.9","0.5","59.7","1.6","1.9","0","","","",""
"2022 March","Borris-In-Ossory-Mountmellick, Laois","5 - 11 years","15.2","5.6","0","0","0","0","","","",""
"2022 March","Borris-In-Ossory-Mountmellick, Laois","12 years and over","96.3","0","55.5","1.4","1.4","0","","","",""
"2022 March","Portlaoise, Laois","5 - 11 years","14.6","5","0","0","0","0","","","",""
"2022 March","Portlaoise, Laois","12 years and over","85.7","0","47.1","1.3","1.3","0","","","",""
"2022 March","Graiguecullen -Portarlington, Laois","5 - 11 years","20.6","5.3","0","0","0","0","","","",""
"2022 March","Graiguecullen -Portarlington, Laois","12 years and over","91.1","0","53.2","1.6","1.6","0.1","","","",""
"2022 March","Carlow, Carlow","5 - 11 years","15.1","2.5","0","0","0","0","","","",""
"2022 March","Carlow, Carlow","12 years and over","85.5","0","49.4","1.5","1.5","0.1","","","",""
"2022 March","Tullow, Carlow","5 - 11 years","21.6","3","0","0","0","0","","","",""
"2022 March","Tullow, Carlow","12 years and over","89.5","0","53","1.9","1.9","0.2","","","",""
"2022 March","Muinebeag, Carlow","5 - 11 years","23.5","3.3","0","0","0","0","","","",""
"2022 March","Muinebeag, Carlow","12 years and over","95.9","0","58.6","1.7","1.7","0.1","","","",""
"2022 March","Manorhamilton, Leitrim","5 - 11 years","11.6","3.3","0","0","0","0","","","",""
"2022 March","Manorhamilton, Leitrim","12 years and over","90.4","0","53.5","1.3","1.3","0","","","",""
"2022 March","Ballinamore, Leitrim","5 - 11 years","7.9","3","0","0","0","0","","","",""
"2022 March","Ballinamore, Leitrim","12 years and over","90.6","0","51.2","1.2","1.2","0","","","",""
"2022 March","Carrick-On-Shannon, Leitrim","5 - 11 years","11.5","5.5","0","0","0","0","","","",""
"2022 March","Carrick-On-Shannon, Leitrim","12 years and over","86","0","48.5","1.7","1.7","0","","","",""
"2022 March","Newcastle West, Limerick","5 - 11 years","17.1","3.8","0","0","0","0","","","",""
"2022 March","Newcastle West, Limerick","12 years and over","93.3","0","56.9","1.4","1.4","0.1","","","",""
"2022 March","Adare-Rathkeale, Limerick","5 - 11 years","23","4","0","0","0","0","","","",""
"2022 March","Adare-Rathkeale, Limerick","12 years and over","97.3","0","60.3","1.7","1.7","0.1","","","",""
"2022 March","Cappamore-Kilmallock, Limerick","5 - 11 years","25.3","4.4","0","0","0","0","","","",""
"2022 March","Cappamore-Kilmallock, Limerick","12 years and over","95.3","0","58.6","1.7","1.7","0.1","","","",""
"2022 March","Limerick City West, Limerick","5 - 11 years","21.4","5.5","0","0","0","0","","","",""
"2022 March","Limerick City West, Limerick","12 years and over","89.7","0","52.7","1.8","1.8","0.1","","","",""
"2022 March","Limerick City North, Limerick","5 - 11 years","15.2","3.4","0","0","0","0","","","",""
"2022 March","Limerick City North, Limerick","12 years and over","91.6","0","52.5","1.8","1.8","0.1","","","",""
"2022 March","Limerick City East, Limerick","5 - 11 years","22.8","5","0","0","0","0","","","",""
"2022 March","Limerick City East, Limerick","12 years and over","89.9","0","53.7","1.7","1.7","0.1","","","",""
"2022 March","Granard, Longford","5 - 11 years","11.6","1.7","0","0","0","0","","","",""
"2022 March","Granard, Longford","12 years and over","92.4","0","54.4","1.1","1.1","0","","","",""
"2022 March","Ballymahon, Longford","5 - 11 years","12.3","2","0","0","0","0","","","",""
"2022 March","Ballymahon, Longford","12 years and over","76.1","0","43.9","1.3","1.3","0","","","",""
"2022 March","Longford, Longford","5 - 11 years","6.9","1.6","0","0","0","0","","","",""
"2022 March","Longford, Longford","12 years and over","82.7","0","46.4","1.1","1.1","0","","","",""
"2022 March","Dundalk-Carlingford, Louth","5 - 11 years","12.9","2.8","0","0","0","0","","","",""
"2022 March","Dundalk-Carlingford, Louth","12 years and over","85","0","46.4","1.4","1.4","0","","","",""
"2022 March","Dundalk South, Louth","5 - 11 years","15.6","5.1","0","0","0","0","","","",""
"2022 March","Dundalk South, Louth","12 years and over","85","0","48.1","1.5","1.5","0","","","",""
"2022 March","Ardee, Louth","5 - 11 years","17.5","4.4","0","0","0","0","","","",""
"2022 March","Ardee, Louth","12 years and over","91.4","0","52.6","1.4","1.4","0","","","",""
"2022 March","Drogheda Rural, Louth","5 - 11 years","19.5","6","0","0","0","0","","","",""
"2022 March","Drogheda Rural, Louth","12 years and over","86.1","0","47.2","1.7","1.7","0","","","",""
"2022 March","Drogheda Urban, Louth","5 - 11 years","13.4","3.3","0","0","0","0","","","",""
"2022 March","Drogheda Urban, Louth","12 years and over","90","0","50.6","1.7","1.7","0.1","","","",""
"2022 March","Ballina, Mayo","5 - 11 years","12.5","1.1","0","0","0","0","","","",""
"2022 March","Ballina, Mayo","12 years and over","92.5","0","54.9","1.3","1.3","0.1","","","",""
"2022 March","Claremorris, Mayo","5 - 11 years","13.2","2.5","0","0","0","0","","","",""
"2022 March","Claremorris, Mayo","12 years and over","89","0","53.7","1.5","1.5","0","","","",""
"2022 March","Castlebar, Mayo","5 - 11 years","15.1","3","0","0","0","0","","","",""
"2022 March","Castlebar, Mayo","12 years and over","91.8","0","54.4","1.5","1.5","0","","","",""
"2022 March","Belmullet, Mayo","5 - 11 years","6.1","1.2","0","0","0","0","","","",""
"2022 March","Belmullet, Mayo","12 years and over","98","0","60.7","1.8","1.8","0.1","","","",""
"2022 March","Westport, Mayo","5 - 11 years","13.9","2.2","0","0","0","0","","","",""
"2022 March","Westport, Mayo","12 years and over","88.5","0","52","1.4","1.4","0","","","",""
"2022 March","Swinford, Mayo","5 - 11 years","12.5","1.8","0","0","0","0","","","",""
"2022 March","Swinford, Mayo","12 years and over","95.9","0","57.7","1.9","1.9","0","","","",""
"2022 March","Kells, Meath","5 - 11 years","16.3","3.2","0","0","0","0","","","",""
"2022 March","Kells, Meath","12 years and over","92.4","0","52.4","1.7","1.7","0.1","","","",""
"2022 March","Laytown-Bettystown, Meath","5 - 11 years","19.6","5.6","0","0","0","0","","","",""
"2022 March","Laytown-Bettystown, Meath","12 years and over","84.4","0","47.4","1.8","1.8","0.1","","","",""
"2022 March","Ashbourne, Meath","5 - 11 years","18.9","4.2","0","0","0","0","","","",""
"2022 March","Ashbourne, Meath","12 years and over","88.2","0","50.8","1.8","1.8","0","","","",""
"2022 March","Ratoath, Meath","5 - 11 years","22.7","3","0","0","0","0","","","",""
"2022 March","Ratoath, Meath","12 years and over","90.9","0","53.5","2","2","0","","","",""
"2022 March","Trim, Meath","5 - 11 years","22.6","3.6","0","0","0","0","","","",""
"2022 March","Trim, Meath","12 years and over","91.3","0","51.6","1.6","1.6","0","","","",""
"2022 March","Navan, Meath","5 - 11 years","14.1","2.7","0","0","0","0","","","",""
"2022 March","Navan, Meath","12 years and over","84.9","0","44.6","1.7","1.7","0","","","",""
"2022 March","Monaghan, Monaghan","5 - 11 years","6.4","1","0","0","0","0","","","",""
"2022 March","Monaghan, Monaghan","12 years and over","81.8","0","47.9","1","1","0","","","",""
"2022 March","Carrickmacross-Castleblayney, Monaghan","5 - 11 years","9.8","1.8","0","0","0","0","","","",""
"2022 March","Carrickmacross-Castleblayney, Monaghan","12 years and over","85.6","0","47.7","0.9","0.9","0","","","",""
"2022 March","Ballybay-Clones, Monaghan","5 - 11 years","10.3","2.4","0","0","0","0","","","",""
"2022 March","Ballybay-Clones, Monaghan","12 years and over","87.3","0","51.7","0.9","0.9","0","","","",""
"2022 March","Birr, Offaly","5 - 11 years","16.7","2.6","0","0","0","0","","","",""
"2022 March","Birr, Offaly","12 years and over","94.5","0","57","1.5","1.5","0","","","",""
"2022 March","Tullamore, Offaly","5 - 11 years","19.3","2.8","0","0","0","0","","","",""
"2022 March","Tullamore, Offaly","12 years and over","92.7","0","53.7","1.7","1.7","0.1","","","",""
"2022 March","Edenderry, Offaly","5 - 11 years","17.9","4.4","0","0","0","0","","","",""
"2022 March","Edenderry, Offaly","12 years and over","92.4","0","52.1","1.8","1.8","0.1","","","",""
"2022 March","Boyle, Roscommon","5 - 11 years","12.9","4","0","0","0","0","","","",""
"2022 March","Boyle, Roscommon","12 years and over","89.1","0","53.1","1.3","1.3","0","","","",""
"2022 March","Roscommon, Roscommon","5 - 11 years","16.6","3.1","0","0","0","0","","","",""
"2022 March","Roscommon, Roscommon","12 years and over","91.2","0","56","1.5","1.5","0","","","",""
"2022 March","Athlone, Roscommon","5 - 11 years","18.6","4.4","0","0","0","0","","","",""
"2022 March","Athlone, Roscommon","12 years and over","90.2","0","53.6","1.7","1.7","0.1","","","",""
"2022 March","Ballymote-Tobercurry, Sligo","5 - 11 years","17.2","4.5","0","0","0","0","","","",""
"2022 March","Ballymote-Tobercurry, Sligo","12 years and over","93.1","0","55.1","1.6","1.6","0.1","","","",""
"2022 March","Sligo-Drumcliff, Sligo","5 - 11 years","20.3","3.8","0","0","0","0","","","",""
"2022 March","Sligo-Drumcliff, Sligo","12 years and over","94.6","0","59.1","1.6","1.6","0","","","",""
"2022 March","Sligo-Strandhill, Sligo","5 - 11 years","13.3","3.2","0","0","0","0","","","",""
"2022 March","Sligo-Strandhill, Sligo","12 years and over","88.5","0","51.8","1.4","1.4","0","","","",""
"2022 March","Cavan-Belturbet, Cavan","5 - 11 years","11.3","2.6","0","0","0","0","","","",""
"2022 March","Cavan-Belturbet, Cavan","12 years and over","83.1","0","49.8","1.2","1.2","0","","","",""
"2022 March","Bailieborough-Cootehill, Cavan","5 - 11 years","12.6","2","0","0","0","0","","","",""
"2022 March","Bailieborough-Cootehill, Cavan","12 years and over","89.5","0","53.3","1.3","1.3","0","","","",""
"2022 March","Ballyjamesduff, Cavan","5 - 11 years","11.8","2.4","0","0","0","0","","","",""
"2022 March","Ballyjamesduff, Cavan","12 years and over","88.6","0","53.8","1.4","1.4","0","","","",""
"2022 March","Nenagh, Tipperary","5 - 11 years","19.6","4.8","0","0","0","0","","","",""
"2022 March","Nenagh, Tipperary","12 years and over","90.5","0","54.3","1.5","1.5","0","","","",""
"2022 March","Roscrea-Templemore, Tipperary","5 - 11 years","16.9","3.1","0","0","0","0","","","",""
"2022 March","Roscrea-Templemore, Tipperary","12 years and over","94.3","0","56.3","1.7","1.7","0.1","","","",""
"2022 March","Carrick-On-Suir, Tipperary","5 - 11 years","17","2.6","0","0","0","0","","","",""
"2022 March","Carrick-On-Suir, Tipperary","12 years and over","95","0","57","1.9","1.9","0.1","","","",""
"2022 March","Clonmel, Tipperary","5 - 11 years","14.6","2.8","0","0","0","0","","","",""
"2022 March","Clonmel, Tipperary","12 years and over","94.5","0","57.7","1.7","1.7","0.1","","","",""
"2022 March","Cashel-Tipperary, Tipperary","5 - 11 years","17.2","2.8","0","0","0","0","","","",""
"2022 March","Cashel-Tipperary, Tipperary","12 years and over","91.3","0","54.1","1.7","1.7","0.1","","","",""
"2022 March","Newport, Tipperary","5 - 11 years","28.5","6.6","0","0","0","0","","","",""
"2022 March","Newport, Tipperary","12 years and over","94.3","0","57.7","1.7","1.7","0","","","",""
"2022 March","Thurles, Tipperary","5 - 11 years","17.8","3","0","0","0","0","","","",""
"2022 March","Thurles, Tipperary","12 years and over","93.3","0","55.9","1.6","1.6","0.1","","","",""
"2022 March","Cahir, Tipperary","5 - 11 years","16.1","3","0","0","0","0","","","",""
"2022 March","Cahir, Tipperary","12 years and over","88.9","0","52.4","1.4","1.4","0.1","","","",""
"2022 March","Dungarvan, Waterford","5 - 11 years","18.1","4","0","0","0","0","","","",""
"2022 March","Dungarvan, Waterford","12 years and over","91","0","53.9","1.7","1.7","0.1","","","",""
"2022 March","Portlaw-Kilmacthomas, Waterford","5 - 11 years","20.2","3.8","0","0","0","0","","","",""
"2022 March","Portlaw-Kilmacthomas, Waterford","12 years and over","93.8","0","56.5","1.7","1.7","0","","","",""
"2022 March","Lismore, Waterford","5 - 11 years","19.9","4.4","0","0","0","0","","","",""
"2022 March","Lismore, Waterford","12 years and over","94.4","0","57.8","1.8","1.8","0.1","","","",""
"2022 March","Tramore-Waterford City West, Waterford","5 - 11 years","15.3","3.1","0","0","0","0","","","",""
"2022 March","Tramore-Waterford City West, Waterford","12 years and over","90.7","0","55.7","1.4","1.4","0","","","",""
"2022 March","Waterford City South, Waterford","5 - 11 years","11.6","2.3","0","0","0","0","","","",""
"2022 March","Waterford City South, Waterford","12 years and over","85.1","0","49.5","1.5","1.5","0.1","","","",""
"2022 March","Waterford City East, Waterford","5 - 11 years","25","3.5","0","0","0","0","","","",""
"2022 March","Waterford City East, Waterford","12 years and over","93.4","0","59.2","1.7","1.7","0.1","","","",""
"2022 March","Athlone, Westmeath","5 - 11 years","15.7","3.8","0","0","0","0","","","",""
"2022 March","Athlone, Westmeath","12 years and over","93.1","0","56.1","1.3","1.3","0","","","",""
"2022 March","Moate, Westmeath","5 - 11 years","18","3.5","0","0","0","0","","","",""
"2022 March","Moate, Westmeath","12 years and over","92.8","0","55.4","1.6","1.6","0","","","",""
"2022 March","Kinnegad, Westmeath","5 - 11 years","16.6","3.9","0","0","0","0","","","",""
"2022 March","Kinnegad, Westmeath","12 years and over","92.3","0","51.8","1.6","1.6","0","","","",""
"2022 March","Mullingar, Westmeath","5 - 11 years","15.3","2.8","0","0","0","0","","","",""
"2022 March","Mullingar, Westmeath","12 years and over","86","0","49.2","1.3","1.3","0.1","","","",""
"2022 March","Gorey, Wexford","5 - 11 years","21.1","3.7","0","0","0","0","","","",""
"2022 March","Gorey, Wexford","12 years and over","87.4","0","52.2","1.6","1.6","0","","","",""
"2022 March","Kilmuckridge, Wexford","5 - 11 years","24.2","4.4","0","0","0","0","","","",""
"2022 March","Kilmuckridge, Wexford","12 years and over","94.5","0","58.4","1.4","1.4","0","","","",""
"2022 March","New Ross, Wexford","5 - 11 years","18.2","2.8","0","0","0","0","","","",""
"2022 March","New Ross, Wexford","12 years and over","90","0","54.2","1.3","1.3","0","","","",""
"2022 March","Rosslare, Wexford","5 - 11 years","19.4","2.8","0","0","0","0","","","",""
"2022 March","Rosslare, Wexford","12 years and over","95.3","0","59.9","1.7","1.7","0","","","",""
"2022 March","Wexford, Wexford","5 - 11 years","19","2.4","0","0","0","0","","","",""
"2022 March","Wexford, Wexford","12 years and over","92.5","0","57.8","1.6","1.6","0.1","","","",""
"2022 March","Enniscorthy, Wexford","5 - 11 years","18.5","2.1","0","0","0","0","","","",""
"2022 March","Enniscorthy, Wexford","12 years and over","91.5","0","55","1.5","1.5","0","","","",""
"2022 March","Baltinglass, Wicklow","5 - 11 years","17","4.8","0","0","0","0","","","",""
"2022 March","Baltinglass, Wicklow","12 years and over","91.9","0","54.5","1.9","1.9","0","","","",""
"2022 March","Bray West, Wicklow","5 - 11 years","28.3","3.4","0","0","0","0","","","",""
"2022 March","Bray West, Wicklow","12 years and over","95.1","0","59","2.2","2.2","0","","","",""
"2022 March","Greystones, Wicklow","5 - 11 years","38.6","3.7","0","0","0","0","","","",""
"2022 March","Greystones, Wicklow","12 years and over","92.9","0","58.5","2.3","2.3","0.1","","","",""
"2022 March","Wicklow, Wicklow","5 - 11 years","24.9","4.4","0","0","0","0","","","",""
"2022 March","Wicklow, Wicklow","12 years and over","91.2","0","55.6","2.2","2.2","0.1","","","",""
"2022 March","Arklow, Wicklow","5 - 11 years","19.6","3.6","0","0","0","0","","","",""
"2022 March","Arklow, Wicklow","12 years and over","92","0","54.5","1.7","1.7","0","","","",""
"2022 March","Bray East, Wicklow","5 - 11 years","24.8","3.4","0","0","0","0","","","",""
"2022 March","Bray East, Wicklow","12 years and over","96.9","0","61.1","2.3","2.3","0.1","","","",""
"2022 March","Rush-Lusk, Fingal","5 - 11 years","20.7","8.2","0","0","0","0","","","",""
"2022 March","Rush-Lusk, Fingal","12 years and over","87.5","0","50.4","2.2","2.2","0","","","",""
"2022 March","Swords, Fingal","5 - 11 years","17.4","7.4","0","0","0","0","","","",""
"2022 March","Swords, Fingal","12 years and over","85.3","0","47.9","2.1","2.1","0","","","",""
"2022 March","Blanchardstown-Mulhuddart, Fingal","5 - 11 years","12.6","6","0","0","0","0","","","",""
"2022 March","Blanchardstown-Mulhuddart, Fingal","12 years and over","69.1","0","32.6","1.5","1.5","0","","","",""
"2022 March","Castleknock, Fingal","5 - 11 years","22","7.8","0","0","0","0","","","",""
"2022 March","Castleknock, Fingal","12 years and over","88.9","0","52.6","2.3","2.3","0","","","",""
"2022 March","Howth-Malahide, Fingal","5 - 11 years","27.6","9.6","0","0","0","0","","","",""
"2022 March","Howth-Malahide, Fingal","12 years and over","93.3","0","59.9","2.4","2.4","0","","","",""
"2022 March","Stillorgan, Dún Laoghaire-Rathdown","5 - 11 years","47.8","10.4","0","0","0","0","","","",""
"2022 March","Stillorgan, Dún Laoghaire-Rathdown","12 years and over","89.8","0","61.2","2.6","2.6","0","","","",""
"2022 March","Dundrum, Dún Laoghaire-Rathdown","5 - 11 years","41.5","10","0","0","0","0","","","",""
"2022 March","Dundrum, Dún Laoghaire-Rathdown","12 years and over","98","0","64.1","2.5","2.5","0","","","",""
"2022 March","Glencullen-Sandyford, Dún Laoghaire-Rathdown","5 - 11 years","41.4","9.9","0","0","0","0","","","",""
"2022 March","Glencullen-Sandyford, Dún Laoghaire-Rathdown","12 years and over","88.1","0","54.3","2.5","2.5","0.1","","","",""
"2022 March","Killiney-Shankill, Dún Laoghaire-Rathdown","5 - 11 years","36.1","7.8","0","0","0","0","","","",""
"2022 March","Killiney-Shankill, Dún Laoghaire-Rathdown","12 years and over","96.8","0","62","2.3","2.3","0.1","","","",""
"2022 March","Dún Laoghaire, Dún Laoghaire-Rathdown","5 - 11 years","39.9","7.7","0","0","0","0","","","",""
"2022 March","Dún Laoghaire, Dún Laoghaire-Rathdown","12 years and over","96","0","62.9","2.5","2.5","0.1","","","",""
"2022 March","Blackrock, Dún Laoghaire-Rathdown","5 - 11 years","43.8","9.5","0","0","0","0","","","",""
"2022 March","Blackrock, Dún Laoghaire-Rathdown","12 years and over","97.7","0","67.1","2.7","2.7","0.1","","","",""
"2022 March","Lucan, South Dublin","5 - 11 years","21.8","3.3","0","0","0","0","","","",""
"2022 March","Lucan, South Dublin","12 years and over","84.6","0","49.4","1.8","1.8","0","","","",""
"2022 March","Tallaght Central, South Dublin","5 - 11 years","10.5","0.8","0","0","0","0","","","",""
"2022 March","Tallaght Central, South Dublin","12 years and over","88.2","0","53.4","1.8","1.8","0.1","","","",""
"2022 March","Rathfarnham-Templeogue, South Dublin","5 - 11 years","27","6.6","0","0","0","0","","","",""
"2022 March","Rathfarnham-Templeogue, South Dublin","12 years and over","98.3","0","68.7","2.7","2.7","0.1","","","",""
"2022 March","Firhouse-Bohernabreena, South Dublin","5 - 11 years","26.2","4.7","0","0","0","0","","","",""
"2022 March","Firhouse-Bohernabreena, South Dublin","12 years and over","92.5","0","56.7","2","2","0","","","",""
"2022 March","Tallaght South, South Dublin","5 - 11 years","11.9","1.5","0","0","0","0","","","",""
"2022 March","Tallaght South, South Dublin","12 years and over","75.2","0","36.8","1.4","1.4","0","","","",""
"2022 March","Clondalkin, South Dublin","5 - 11 years","13.9","2.3","0","0","0","0","","","",""
"2022 March","Clondalkin, South Dublin","12 years and over","79.9","0","45.7","1.6","1.6","0","","","",""
"2022 March","Balbriggan, Fingal","5 - 11 years","19","8.1","0","0","0","0","","","",""
"2022 March","Balbriggan, Fingal","12 years and over","85.3","0","48.2","1.9","1.9","0.1","","","",""
"2022 March","Ongar, Fingal","5 - 11 years","16.7","6.9","0","0","0","0","","","",""
"2022 March","Ongar, Fingal","12 years and over","77.2","0","38.7","1.7","1.7","0","","","",""
"2022 March","Palmerstown-Fonthill, South Dublin","5 - 11 years","11.1","1.3","0","0","0","0","","","",""
"2022 March","Palmerstown-Fonthill, South Dublin","12 years and over","82.6","0","45.6","1.7","1.7","0","","","",""
"2022 March","Ballymun-Finglas, Dublin City","5 - 11 years","13.5","5.3","0","0","0","0","","","",""
"2022 March","Ballymun-Finglas, Dublin City","12 years and over","82.9","0","46.4","1.7","1.7","0","","","",""
"2022 March","Cabra-Glasnevin, Dublin City","5 - 11 years","20.5","7.9","0","0","0","0","","","",""
"2022 March","Cabra-Glasnevin, Dublin City","12 years and over","89.8","0","55","2.4","2.4","0.1","","","",""
"2022 March","Ballyfermot-Drimnagh, Dublin City","5 - 11 years","11.1","2","0","0","0","0","","","",""
"2022 March","Ballyfermot-Drimnagh, Dublin City","12 years and over","84.1","0","49.5","1.9","1.9","0","","","",""
"2022 March","Kimmage-Rathmines, Dublin City","5 - 11 years","27.2","6.8","0","0","0","0","","","",""
"2022 March","Kimmage-Rathmines, Dublin City","12 years and over","92.5","0","57.9","2.5","2.5","0.1","","","",""
"2022 March","Pembroke, Dublin City","5 - 11 years","35.4","7.1","0","0","0","0","","","",""
"2022 March","Pembroke, Dublin City","12 years and over","90.4","0","59.5","2.9","2.9","0.1","","","",""
"2022 March","South East Inner City, Dublin City","5 - 11 years","10.1","2.4","0","0","0","0","","","",""
"2022 March","South East Inner City, Dublin City","12 years and over","75.2","0","43.9","2.2","2.2","0","","","",""
"2022 March","North Inner City, Dublin City","5 - 11 years","6.2","2.4","0","0","0","0","","","",""
"2022 March","North Inner City, Dublin City","12 years and over","74.8","0","39.3","2.3","2.3","0","","","",""
"2022 March","Clontarf, Dublin City","5 - 11 years","35.9","11","0","0","0","0","","","",""
"2022 March","Clontarf, Dublin City","12 years and over","94","0","62.9","2.5","2.5","0.1","","","",""
"2022 March","Donaghmede, Dublin City","5 - 11 years","23.7","8.8","0","0","0","0","","","",""
"2022 March","Donaghmede, Dublin City","12 years and over","87.1","0","53.8","2.4","2.4","0","","","",""
"2022 March","Artane-Whitehall, Dublin City","5 - 11 years","16","5.6","0","0","0","0","","","",""
"2022 March","Artane-Whitehall, Dublin City","12 years and over","88.8","0","53.2","2.2","2.2","0.1","","","",""
"2022 March","South West Inner City, Dublin City","5 - 11 years","10.7","2.9","0","0","0","0","","","",""
"2022 March","South West Inner City, Dublin City","12 years and over","75.1","0","42.2","2.4","2.4","0","","","",""
"2022 March","Ennistimon, Clare","5 - 11 years","11.5","2.1","0","0","0","0","","","",""
"2022 March","Ennistimon, Clare","12 years and over","90.3","0","55.3","1.5","1.5","0","","","",""
"2022 March","Killaloe, Clare","5 - 11 years","21.4","4.6","0","0","0","0","","","",""
"2022 March","Killaloe, Clare","12 years and over","90.9","0","54.1","1.4","1.4","0.1","","","",""
"2022 March","Shannon, Clare","5 - 11 years","19.6","4.4","0","0","0","0","","","",""
"2022 March","Shannon, Clare","12 years and over","89.9","0","52.8","1.8","1.8","0","","","",""
"2022 March","Ennis, Clare","5 - 11 years","18.6","4.2","0","0","0","0","","","",""
"2022 March","Ennis, Clare","12 years and over","91.1","0","54.4","1.3","1.3","0.1","","","",""
"2022 March","Kilrush, Clare","5 - 11 years","13.4","2.6","0","0","0","0","","","",""
"2022 March","Kilrush, Clare","12 years and over","95.5","0","57.8","1.4","1.4","0.1","","","",""
"2022 March","Kanturk, Cork County","5 - 11 years","17.1","4.3","0","0","0","0","","","",""
"2022 March","Kanturk, Cork County","12 years and over","94.9","0","56.8","2.3","2.3","0.2","","","",""
"2022 March","Fermoy, Cork County","5 - 11 years","21.6","4.4","0","0","0","0","","","",""
"2022 March","Fermoy, Cork County","12 years and over","91.9","0","56.4","2.1","2.1","0.1","","","",""
"2022 March","Midleton, Cork County","5 - 11 years","22.1","4","0","0","0","0","","","",""
"2022 March","Midleton, Cork County","12 years and over","88.9","0","52.8","2.1","2.1","0.1","","","",""
"2022 March","Carrigaline, Cork County","5 - 11 years","30.9","7.4","0","0","0","0","","","",""
"2022 March","Carrigaline, Cork County","12 years and over","94.3","0","57.7","2.5","2.5","0.2","","","",""
"2022 March","Cobh, Cork County","5 - 11 years","27.2","5.5","0","0","0","0","","","",""
"2022 March","Cobh, Cork County","12 years and over","93.1","0","54.9","2.4","2.4","0.1","","","",""
"2022 March","Bandon-Kinsale, Cork County","5 - 11 years","27.7","5.6","0","0","0","0","","","",""
"2022 March","Bandon-Kinsale, Cork County","12 years and over","91.3","0","56.1","2","2","0.1","","","",""
"2022 March","Bantry-West Cork, Cork County","5 - 11 years","13.5","1.8","0","0","0","0","","","",""
"2022 March","Bantry-West Cork, Cork County","12 years and over","93.8","0","59.9","1.6","1.6","0.1","","","",""
"2022 March","Skibbereen-West Cork, Cork County","5 - 11 years","20.6","3.1","0","0","0","0","","","",""
"2022 March","Skibbereen-West Cork, Cork County","12 years and over","90.8","0","56.6","1.8","1.8","0.1","","","",""
"2022 March","Macroom, Cork County","5 - 11 years","27.8","4.9","0","0","0","0","","","",""
