GP_Name,GP_Address,GP_LocationText,GP_LocationLink,latitude,longitude,latitude,longitude
Arranmore Health Centre,"Ballintra, Aranmore, Donegal, F92  Dx08",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Qwe6j3s6yl2nzdvaa,NA,NA,54.9780546,-8.506204799999999
Artane Medical Centre,"2 Mornington Park, Malahide Road, Beaumont, Dublin, D05  Kf96",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D05 Kf96,NA,NA,53.3805242,-6.2099041
Arva Medical Centre,"Broad Road, Arva, Cavan, H12  Tw26",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H12 Tw26,NA,NA,53.9229283,-7.5831641
Ashbourne Family Practice,"Killegland Walk, Ashbourne, Meath, A84  A627",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A84 A627,NA,NA,53.5112676,-6.4003688
Ashbourne Medical Centre,"1st Floor, Killegland Street, Ashbourne, Meath, A84  Tp84",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A84 Tp84,NA,NA,53.5112676,-6.4003688
Ashdown Medical Centre,"Courtbrack Avenue, South Circular Road, Limerick City, Limerick, V94  H9kr",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 H9kr,NA,NA,52.6544631,-8.6475609
Ashford Clinic,"Mount Usher Court, Ashford, Wicklow, A67  Yw93",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A67 Yw93,NA,NA,53.0119991,-6.107665799999999
Ashtown Medical Centre,"River Centre, Rathborne Place, Ashtown, Dublin, D15  Ax0r",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D15 Ax0r,NA,NA,53.3782294,-6.326924699999999
Ashwood Surgery,"19 Ashwood Road, Clondalkin, Dublin, D22  E9k6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D22 E9k6,NA,NA,53.3261324,-6.4107422
Askeaton Medical Centre,"The Quay, Askeaton, Limerick, V94  C9r6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 C9r6,NA,NA,52.601737,-8.9733525
Aston Medical,"Unit 14 Aston Green, Aston Village, Drogheda, Louth, A92  Rt20",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A92 Rt20,NA,NA,53.7271023,-6.3321828
