GP_Name,GP_Address,GP_LocationText,GP_LocationLink
Ashford Clinic,"Mount Usher Court, Ashford, Wicklow, A67  Yw93",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A67 Yw93
Ashtown Medical Centre,"River Centre, Rathborne Place, Ashtown, Dublin, D15  Ax0r",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D15 Ax0r
Ashwood Surgery,"19 Ashwood Road, Clondalkin, Dublin, D22  E9k6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D22 E9k6
Askeaton Medical Centre,"The Quay, Askeaton, Limerick, V94  C9r6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 C9r6
Aston Medical,"Unit 14 Aston Green, Aston Village, Drogheda, Louth, A92  Rt20",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A92 Rt20
Athboy Family Practice,"Main Street, Athboy, Meath, C15  E330",Location And Directions - Google Maps,Https://Maps.google.com/?Q=C15 E330
Athenry Surgery,"Raheen, Athenry, Galway, H65  Kh93",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Zf6z9by7qwcmwkdi6
Ath Transna Medical Centre,"West End, Newmarket, Cork, P51  W2py",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P51 W2py
Athy Lodge Medical,"Carlow Road, Athy, Kildare, R14  X672",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R14 X672
Atlantic Medical,"16 College Street, Cavan Town, Cavan, H12  F439",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H12 F439
Atlantic Medical Centre,"Cq Centre, Kevin Barry Street, Ballina, Mayo, F26  Dk76",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F26 Dk76
Atlantic Medical Practice,"43/45 Father Griffin Road, Lower Salthill, Salthill, Galway, H91  X4a6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 X4a6
Atrium Family Practice,"The Atrium, John's Lane, Naas, Kildare, W91  Y754",Location And Directions - Google Maps,Https://Maps.google.com/?Q=W91 Y754
